38,Jordan Clarkson\clarkjo01,SG,25,CLE,13,217,4.2,.382,.382,.067,2.8,9.0,5.9,8.7,1.5,0.8,9.8,22.0,,-0.6,0.1,-0.4,-0.093,,-7.0,-1.0,-8.0,-0.3
39,Zach Collins\colliza01,C,20,POR,4,70,11.6,.441,.467,.133,4.4,15.5,9.5,12.2,2.1,2.3,5.9,20.6,,0.0,0.0,0.0,.016,,-2.7,1.5,-1.2,0.0
40,Darren Collison\collida01,PG,30,IND,7,214,14.7,.539,.338,.176,0.6,10.9,6.0,23.4,1.7,0.0,10.9,18.1,,0.3,0.3,0.6,.126,,1.4,-0.1,1.3,0.2
41,Pat Connaughton\connapa01,SG,25,POR,4,59,9.0,.504,.667,.133,3.5,4.1,3.8,13.4,0.8,1.4,5.9,12.2,,0.1,0.0,0.1,.051,,-1.2,-0.4,-1.6,0.0
42,Quinn Cook\cookqu01,PG,24,GSW,11,155,15.0,.579,.458,.288,1.4,13.5,7.6,8.4,1.2,1.1,7.0,20.1,,0.2,0.2,0.4,.137,,1.1,-1.5,-0.4,0.1
43,Robert Covington\covinro01,SF,27,PHI,10,281,9.6,.450,.578,.193,4.5,15.8,10.1,12.7,1.9,2.9,10.9,15.1,,0.0,0.4,0.4,.074,,-1.0,2.1,1.1,0.2
44,Jamal Crawford\crawfja01,SG,37,MIN,5,123,15.5,.560,.362,.277,0.9,10.3,5.7,15.7,2.1,0.0,8.7,21.4,,0.2,0.0,0.2,.065,,-0.7,1.9,1.3,0.1
45,Jordan Crawford\crawfjo02,SG,29,NOP,2,15,34.6,.731,.615,.000,0.0,26.8,13.9,18.5,3.1,0.0,18.8,45.6,,0.0,0.0,0.0,.070,,9.4,-1.0,8.3,0.0
46,Jae Crowder\crowdja01,SF,27,UTA,11,323,8.4,.457,.611,.259,1.3,17.5,9.3,8.7,2.3,0.5,10.4,18.3,,-0.3,0.4,0.1,.021,,-2.5,1.9,-0.7,0.1
47,Stephen Curry\curryst01,PG,29,GSW,7,228,23.2,.617,.476,.210,2.4,16.1,9.4,21.7,2.1,1.5,12.3,29.6,,0.5,0.4,0.9,.191,,6.1,0.0,6.1,0.5
48,Anthony Davis\davisan02,PF,24,NOP,9,358,25.7,.584,.108,.314,7.2,27.2,17.6,7.0,2.3,4.6,9.0,30.5,,0.7,0.7,1.4,.183,,0.4,2.7,3.1,0.5
49,Ed Davis\davised01,C,28,POR,4,71,6.1,.468,.000,.400,7.2,45.9,24.9,0.0,0.0,1.2,25.4,9.5,,-0.1,0.0,-0.1,-0.034,,-11.4,-2.3,-13.7,-0.2
50,Matthew Dellavedova\dellama01,PG,27,MIL,6,78,6.8,.466,.750,.167,1.6,5.7,3.8,27.3,1.3,0.0,31.8,11.8,,0.0,0.0,0.0,.009,,-3.8,-3.0,-6.9,-0.1
51,DeMar DeRozan\derozde01,SG,28,TOR,10,354,16.2,.511,.176,.266,2.0,10.6,6.2,20.3,0.7,1.3,9.4,31.5,,0.2,-0.1,0.2,.023,,-2.9,-1.2,-4.1,-0.2
52,Cheick Diallo\diallch01,PF,21,NOP,7,48,4.6,.417,.000,.000,9.0,10.5,9.7,0.0,1.0,1.7,7.7,11.6,,0.0,0.0,0.0,.015,,-6.0,-0.9,-7.0,-0.1
53,Gorgui Dieng\dienggo01,C,28,MIN,5,70,11.1,.430,.278,.222,4.8,22.6,14.0,8.1,1.4,6.1,4.8,13.5,,0.0,0.1,0.1,.038,,-5.5,7.0,1.5,0.1
54,Goran Dragic\dragigo01,PG,31,MIA,5,156,14.2,.549,.280,.293,2.0,6.9,4.4,27.4,1.5,0.0,15.0,27.5,,0.0,0.0,0.0,.010,,-1.1,-1.6,-2.7,0.0
55,Kevin Durant\duranke01,PF,29,GSW,13,479,24.7,.610,.324,.302,1.8,18.4,10.3,20.4,1.1,1.9,9.8,31.5,,1.4,0.8,2.1,.215,,5.9,-0.2,5.7,0.9
56,Wayne Ellington\ellinwa01,SG,30,MIA,5,101,8.0,.537,.857,.086,1.0,7.5,4.2,4.6,0.9,1.7,7.6,16.8,,0.0,0.0,0.0,.000,,-2.0,-0.7,-2.7,0.0
57,Joel Embiid\embiijo01,C,23,PHI,8,278,18.0,.519,.210,.442,8.7,30.4,19.4,14.8,1.2,4.6,15.0,29.3,,0.0,0.5,0.6,.096,,-1.3,2.2,1.0,0.2
58,Dante Exum\exumda01,PG,22,UTA,10,114,8.0,.551,.171,.293,3.7,9.5,6.6,14.4,0.4,0.8,24.5,23.7,,-0.2,0.1,-0.1,-0.032,,-5.0,-0.8,-5.8,-0.1
59,Derrick Favors\favorde01,C,26,UTA,11,286,16.4,.618,.074,.485,7.4,14.1,10.7,7.1,1.4,3.4,10.8,14.3,,0.5,0.4,0.9,.146,,-0.1,3.5,3.4,0.4
60,Raymond Felton\feltora01,PG,33,OKC,6,79,12.3,.486,.452,.065,2.7,14.5,8.7,18.3,2.5,2.3,13.6,20.4,,0.0,0.1,0.1,.045,,-2.0,1.4,-0.6,0.0
61,Terrance Ferguson\fergute01,SG,19,OKC,3,6,30.0,1.500,1.000,.000,17.8,0.0,8.8,27.4,0.0,0.0,0.0,7.3,,0.1,0.0,0.1,.507,,16.4,-4.5,11.9,0.0
62,Bryn Forbes\forbebr01,SG,24,SAS,4,54,5.4,.423,.529,.412,2.0,4.5,3.1,5.9,0.0,0.0,0.0,17.0,,0.0,0.0,0.0,-0.039,,-4.3,-1.8,-6.2,-0.1
63,Tim Frazier\fraziti01,PG,27,WAS,2,6,15.1,.000,.000,.000,0.0,19.8,9.9,60.5,8.2,0.0,0.0,7.3,,0.0,0.0,0.0,.136,,-4.4,5.1,0.7,0.0
64,Markelle Fultz\fultzma01,SG,19,PHI,3,23,5.6,.285,.000,.571,0.0,14.2,7.0,28.8,4.3,0.0,10.2,17.8,,0.0,0.0,0.0,-0.003,,-6.6,1.1,-5.5,0.0
65,Pau Gasol\gasolpa01,C,37,SAS,5,90,15.0,.615,.150,.500,2.3,29.6,15.1,25.5,0.0,1.0,19.7,15.5,,0.1,0.0,0.2,.094,,-3.1,2.8,-0.3,0.0
66,Rudy Gay\gayru01,PF,31,SAS,5,160,11.2,.442,.277,.138,5.9,14.4,9.9,12.3,2.6,0.5,8.0,21.4,,-0.2,0.1,0.0,-0.012,,-3.3,2.7,-0.6,0.1
67,Paul George\georgpa01,SF,27,OKC,6,251,14.5,.545,.433,.300,1.7,13.3,7.6,11.0,1.6,1.5,15.0,27.8,,0.0,0.3,0.2,.045,,-0.8,-0.6,-1.4,0.0
68,Marcus Georges-Hunt\georgma01,SG,23,MIN,2,3,0.0,.000,.000,.000,37.4,0.0,18.1,0.0,0.0,0.0,0.0,15.2,,0.0,0.0,0.0,-0.222,,-10.2,-3.7,-13.9,0.0
69,Taj Gibson\gibsota01,PF,32,MIN,5,123,10.5,.665,.000,.136,6.4,11.1,8.8,2.4,0.4,1.8,14.6,10.1,,0.2,0.0,0.1,.053,,-3.2,3.4,0.2,0.1
70,Manu Ginobili\ginobma01,SG,40,SAS,5,107,15.2,.538,.486,.297,1.0,15.9,7.9,25.8,3.4,0.8,14.3,20.9,,0.0,0.1,0.2,.069,,-0.3,3.1,2.8,0.1
71,Rudy Gobert\goberru01,C,25,UTA,11,383,19.5,.662,.000,.690,12.0,21.3,16.6,4.5,1.3,5.8,16.1,15.0,,0.8,0.6,1.5,.185,,0.1,4.9,5.1,0.7
72,Eric Gordon\gordoer01,SG,29,HOU,13,404,11.0,.521,.595,.241,2.2,7.4,4.8,7.4,0.9,1.1,8.9,21.2,,0.1,0.3,0.4,.048,,-0.6,-1.6,-2.2,0.0
73,Marcin Gortat\gortama01,C,33,WAS,6,160,11.5,.564,.000,.163,9.7,18.6,14.2,5.5,0.0,1.1,11.5,14.3,,0.2,0.0,0.2,.060,,-2.6,0.9,-1.7,0.0
74,Jerami Grant\grantje01,PF,23,OKC,6,133,11.3,.540,.229,.314,6.4,9.4,7.9,7.1,1.5,2.1,13.1,15.1,,0.1,0.1,0.2,.069,,-2.1,1.0,-1.2,0.0
75,Danny Green\greenda02,SG,30,SAS,5,103,2.6,.350,.667,.000,4.1,8.2,6.0,1.5,0.5,3.4,6.3,14.2,,-0.2,0.0,-0.2,-0.092,,-6.7,1.6,-5.0,-0.1
76,Draymond Green\greendr01,PF,27,GSW,13,485,17.3,.521,.423,.277,6.6,25.5,16.3,30.1,2.4,3.1,21.1,16.6,,0.6,1.1,1.7,.166,,2.1,5.1,7.2,1.1
77,Gerald Green\greenge01,SG,32,HOU,13,197,10.4,.539,.764,.097,3.3,20.9,12.1,0.8,1.0,1.3,7.4,18.4,,0.1,0.2,0.3,.066,,-2.1,-2.8,-5.0,-0.1
78,Jeff Green\greenje02,PF,31,CLE,14,307,12.1,.555,.506,.407,1.6,9.1,5.3,10.5,1.0,2.9,8.6,16.0,,0.3,0.2,0.6,.089,,-1.3,0.8,-0.5,0.1
79,James Harden\hardeja01,SG,28,HOU,13,455,27.1,.565,.442,.358,2.2,14.7,8.4,37.4,2.8,1.5,11.5,36.6,,1.3,0.7,2.0,.209,,7.5,1.4,8.9,1.3
80,Maurice Harkless\harklma01,SF,24,POR,2,53,12.9,.615,.462,.000,5.8,11.4,8.4,10.4,0.0,1.5,7.1,11.3,,0.1,0.0,0.1,.090,,-0.3,0.4,0.1,0.0
81,John Henson\hensojo01,C,27,MIL,2,74,15.0,.684,.000,.154,6.9,12.0,9.7,9.9,0.0,8.4,22.4,11.8,,0.1,0.1,0.2,.110,,-1.9,3.8,1.9,0.1
82,Nene Hilario\hilarne01,C,35,HOU,11,107,11.1,.624,.000,.550,6.1,22.9,14.5,6.7,0.9,4.0,24.4,13.7,,0.1,0.2,0.2,.090,,-4.6,2.6,-1.9,0.0
83,George Hill\hillge01,PG,31,CLE,11,300,11.2,.603,.397,.471,2.0,6.9,4.4,11.7,0.3,1.5,11.8,14.6,,0.5,0.1,0.6,.095,,-1.1,-0.4,-1.4,0.0
84,Solomon Hill\hillso01,SF,26,NOP,9,114,7.1,.561,.640,.400,5.7,9.7,7.8,7.5,0.4,0.7,16.9,13.3,,0.1,0.1,0.1,.057,,-1.2,-0.1,-1.3,0.0
85,Jrue Holiday\holidjr01,SG,27,NOP,9,348,19.6,.581,.294,.176,2.8,12.1,7.6,25.6,1.3,1.1,11.2,25.3,,0.6,0.3,1.0,.131,,3.4,0.7,4.1,0.5
86,Richaun Holmes\holmeri01,C,24,PHI,3,11,-4.2,.000,.000,.000,0.0,9.9,4.9,11.4,0.0,0.0,0.0,3.8,,0.0,0.0,0.0,-0.019,,-7.5,-0.2,-7.7,0.0
87,Rodney Hood\hoodro01,SG,25,CLE,12,200,4.6,.447,.274,.145,1.2,8.5,4.8,11.0,0.8,0.9,14.3,18.1,,-0.3,0.1,-0.2,-0.043,,-6.2,-0.7,-6.9,-0.2
88,Al Horford\horfoal01,C,31,BOS,15,525,22.1,.656,.216,.358,5.8,21.5,13.6,17.5,1.6,3.3,13.0,18.8,,1.5,0.8,2.3,.215,,3.4,3.7,7.1,1.2
89,Josh Huestis\huestjo01,PF,26,OKC,4,19,7.9,.521,.000,1.000,0.0,16.5,8.3,0.0,2.6,4.8,0.0,6.6,,0.0,0.0,0.0,.098,,-6.3,2.8,-3.6,0.0
90,Serge Ibaka\ibakase01,PF,28,TOR,10,260,10.9,.533,.333,.306,6.0,22.1,13.9,6.2,0.2,3.9,16.4,17.1,,0.0,0.1,0.1,.014,,-4.5,1.9,-2.6,0.0
91,Andre Iguodala\iguodan01,SF,34,GSW,13,357,13.8,.591,.425,.438,3.1,15.9,9.6,14.5,2.4,1.2,13.0,12.2,,0.5,0.7,1.2,.158,,1.7,2.4,4.1,0.6
92,Ersan Ilyasova\ilyaser01,PF,30,PHI,10,233,14.3,.499,.369,.250,11.8,23.3,17.4,8.7,1.5,1.6,9.7,18.6,,0.2,0.4,0.5,.112,,0.1,0.3,0.4,0.1
93,Joe Ingles\inglejo01,SF,30,UTA,11,382,12.3,.623,.636,.140,1.4,12.3,6.8,15.2,0.8,0.5,16.8,17.8,,0.4,0.3,0.7,.086,,1.5,0.5,2.0,0.4
94,Aaron Jackson\jacksaa01,PG,31,HOU,6,13,7.7,.512,.500,.500,16.8,8.6,12.7,11.7,0.0,0.0,29.1,23.6,,0.0,0.0,0.0,-0.043,,-3.2,-2.7,-5.8,0.0
95,LeBron James\jamesle01,PF,33,CLE,14,568,34.0,.623,.229,.439,3.8,23.0,13.3,49.9,1.8,2.5,11.9,34.7,,3.0,0.7,3.7,.311,,11.1,4.6,15.7,2.5
96,Brandon Jennings\jennibr01,PG,28,MIL,1,5,-9.9,.347,1.000,1.000,0.0,0.0,0.0,0.0,0.0,0.0,25.8,37.7,,0.0,0.0,0.0,-0.468,,-14.4,-9.5,-23.9,0.0
